Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,PolicyNumber,RepNumber,Deductible,DriverRating,PoliceReportFiled,WitnessPresent,AgentType,BasePolicy,Fraud_Found
Jul,4,Thursday,Honda,Urban,Friday,Aug,2,Male,Married,54,Third Party,Sedan - Liability,Sport,14232,4,400,4,No,No,External,Liability,0
Jul,3,Wednesday,Mazda,Urban,Wednesday,Aug,4,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,14233,14,400,3,No,No,External,Collision,0
Mar,2,Sunday,Accura,Urban,Monday,Apr,2,Male,Married,42,Policy Holder,Sedan - Liability,Sport,14234,12,400,4,No,No,External,Liability,0
Feb,2,Monday,Pontiac,Urban,Monday,Feb,2,Male,Married,49,Policy Holder,Sedan - Liability,Sport,14235,10,400,3,No,No,External,Liability,0
Mar,1,Wednesday,Toyota,Urban,Thursday,Mar,1,Male,Widow,37,Policy Holder,Sedan - Liability,Sport,14236,15,400,1,No,No,External,Liability,0
Mar,2,Sunday,Pontiac,Urban,Tuesday,Mar,3,Male,Married,31,Policy Holder,Sedan - Liability,Sport,14237,2,400,3,No,No,External,Liability,0
Mar,4,Sunday,Chevrolet,Rural,Monday,Mar,5,Male,Married,41,Policy Holder,Sedan - Liability,Sport,14238,13,400,3,No,No,External,Liability,0
Apr,4,Wednesday,Toyota,Urban,Tuesday,May,1,Male,Married,37,Policy Holder,Sedan - Liability,Sport,14239,14,400,4,No,No,External,Liability,0
May,2,Friday,Mazda,Urban,Monday,May,3,Male,Married,40,Policy Holder,Sedan - Liability,Sport,14240,5,400,3,No,No,External,Liability,0
Jun,3,Tuesday,Pontiac,Urban,Wednesday,Jun,3,Male,Single,27,Third Party,Sedan - All Perils,Sedan,14241,10,400,2,No,No,External,All Perils,0
Jun,3,Wednesday,Mazda,Urban,Friday,Aug,3,Male,Married,36,Third Party,Sedan - Collision,Sedan,14242,5,400,1,No,No,External,Collision,0
Jun,4,Sunday,Chevrolet,Urban,Monday,Jun,4,Male,Single,39,Policy Holder,Sedan - Collision,Sedan,14243,3,400,2,No,No,External,Collision,0
Jun,5,Thursday,Pontiac,Urban,Monday,Sep,2,Female,Single,27,Policy Holder,Sedan - Collision,Sedan,14244,16,400,2,No,No,External,Collision,0
Jul,1,Sunday,Pontiac,Urban,Wednesday,Jul,4,Female,Married,34,Policy Holder,Sedan - All Perils,Sedan,14245,11,400,1,No,No,External,All Perils,0
Jul,4,Wednesday,Chevrolet,Rural,Thursday,Jul,5,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,14246,14,400,4,No,No,External,Collision,0
Oct,5,Friday,Mazda,Urban,Monday,Nov,2,Female,Married,56,Policy Holder,Sedan - Liability,Sport,14247,16,400,2,No,No,External,Liability,0
Nov,1,Wednesday,Honda,Urban,Thursday,Nov,1,Male,Single,33,Policy Holder,Sedan - Liability,Sport,14248,16,400,4,No,No,External,Liability,0
Aug,4,Sunday,Honda,Urban,Friday,Sep,1,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,14249,5,400,2,No,No,External,Collision,1
Nov,5,Monday,Pontiac,Urban,Thursday,Dec,1,Male,Married,64,Third Party,Sedan - All Perils,Sedan,14250,3,400,3,No,No,External,All Perils,0
Feb,4,Friday,Pontiac,Urban,Friday,Feb,4,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,14251,2,400,4,No,No,External,Collision,0
Feb,4,Saturday,Toyota,Urban,Friday,Mar,1,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,14252,9,400,4,No,No,External,All Perils,0
Feb,4,Sunday,Toyota,Urban,Thursday,Mar,1,Male,Single,35,Policy Holder,Sedan - All Perils,Sedan,14253,5,400,1,No,No,External,All Perils,0
Mar,1,Saturday,Pontiac,Urban,Tuesday,Mar,4,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,14254,4,400,3,No,No,External,Collision,0
Mar,2,Tuesday,Chevrolet,Urban,Tuesday,Mar,2,Male,Married,30,Policy Holder,Sedan - Liability,Sport,14255,4,400,1,No,No,External,Liability,0
Apr,3,Sunday,Pontiac,Urban,Thursday,Apr,3,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,14256,11,400,2,No,No,External,Collision,0
May,3,Saturday,Chevrolet,Urban,Thursday,Jul,1,Male,Married,44,Policy Holder,Sedan - Liability,Sport,14257,12,400,4,No,No,External,Liability,0
Jun,2,Saturday,Pontiac,Urban,Monday,Jun,3,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,14258,3,400,1,No,No,External,Collision,0
Jul,3,Friday,Mazda,Urban,Thursday,Jul,3,Female,Married,29,Policy Holder,Sedan - Collision,Sedan,14259,14,400,3,No,No,External,Collision,0
Jul,3,Saturday,Saturn,Rural,Tuesday,Jul,3,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,14260,11,400,1,No,No,External,Collision,0
Jul,3,Sunday,Toyota,Urban,Monday,Jul,3,Female,Single,22,Policy Holder,Sedan - Collision,Sedan,14261,11,400,2,No,No,External,Collision,0
Aug,1,Friday,Toyota,Rural,Monday,Aug,2,Male,Single,22,Third Party,Sedan - All Perils,Sedan,14262,13,400,1,No,No,External,All Perils,0
Sep,4,Tuesday,Accura,Rural,Wednesday,Sep,4,Female,Married,39,Policy Holder,Sedan - Collision,Sedan,14263,7,400,4,No,No,External,Collision,0
Nov,2,Wednesday,Pontiac,Urban,Friday,Nov,2,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,14264,14,400,3,No,No,External,Collision,0
Nov,3,Tuesday,Toyota,Urban,Tuesday,Nov,3,Female,Single,34,Policy Holder,Sedan - Liability,Sport,14265,2,400,3,No,No,External,Liability,0
Nov,4,Monday,Pontiac,Urban,Monday,Nov,4,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,14266,12,400,3,No,No,Internal,Collision,0
Nov,5,Tuesday,Honda,Urban,Tuesday,Nov,5,Male,Single,28,Policy Holder,Sedan - Liability,Sport,14267,3,400,2,No,No,External,Liability,0
Oct,2,Saturday,Pontiac,Rural,Monday,Oct,2,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,14268,8,400,1,No,No,External,Collision,0
Sep,3,Wednesday,Toyota,Urban,Thursday,Sep,4,Male,Married,65,Third Party,Sedan - All Perils,Sedan,14269,10,400,1,No,No,External,All Perils,0
Jul,3,Wednesday,Accura,Urban,Monday,Jul,4,Male,Married,51,Policy Holder,Utility - All Perils,Utility,14270,1,400,4,No,No,External,All Perils,0
Jul,3,Saturday,Toyota,Urban,Tuesday,Aug,1,Male,Single,33,Third Party,Sedan - Collision,Sedan,14271,9,400,1,No,No,External,Collision,0
May,3,Saturday,Pontiac,Urban,Wednesday,Jun,4,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,14272,1,400,1,No,No,External,Collision,0
May,4,Monday,Toyota,Urban,Monday,May,4,Male,Married,35,Third Party,Sedan - Collision,Sedan,14273,10,400,3,No,No,External,Collision,0
Aug,4,Sunday,Mercury,Urban,Tuesday,Sep,4,Male,Single,31,Third Party,Sedan - Collision,Sedan,14274,6,400,2,No,No,External,Collision,0
Apr,4,Tuesday,Toyota,Urban,Monday,May,2,Male,Married,62,Policy Holder,Sedan - Collision,Sedan,14275,3,400,1,No,No,External,Collision,0
Mar,4,Friday,Pontiac,Urban,Monday,Mar,4,Male,Married,71,Policy Holder,Sedan - Liability,Sport,14276,3,400,2,No,No,External,Liability,0
Mar,4,Thursday,Toyota,Urban,Thursday,Mar,4,Female,Single,29,Third Party,Sedan - Collision,Sedan,14277,9,400,1,No,No,External,Collision,0
Mar,4,Thursday,Honda,Urban,Tuesday,May,3,Male,Single,41,Policy Holder,Sport - Collision,Sport,14278,7,400,4,No,No,External,Collision,0
Feb,5,Tuesday,Pontiac,Urban,Thursday,Mar,1,Female,Married,50,Policy Holder,Sedan - Liability,Sport,14279,13,400,3,No,No,External,Liability,0
Jan,3,Tuesday,Honda,Urban,Wednesday,Jan,3,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,14280,5,400,2,No,No,External,Collision,0
Nov,2,Tuesday,Honda,Urban,Tuesday,Nov,2,Male,Married,55,Policy Holder,Sedan - Liability,Sport,14281,5,500,4,No,No,External,Liability,0
Nov,1,Saturday,Pontiac,Urban,Monday,Nov,4,Female,Married,27,Policy Holder,Sedan - Collision,Sedan,14282,5,400,2,No,No,External,Collision,0
Nov,1,Tuesday,Mazda,Rural,Friday,Nov,1,Male,Single,31,Third Party,Sedan - Liability,Sport,14283,12,400,2,Yes,No,External,Liability,0
Sep,1,Monday,VW,Urban,Friday,Sep,2,Male,Married,74,Policy Holder,Sedan - All Perils,Sedan,14284,16,400,1,No,No,External,All Perils,0
Aug,5,Sunday,Pontiac,Urban,Tuesday,Aug,5,Male,Single,27,Policy Holder,Sedan - Liability,Sport,14285,10,400,2,No,No,External,Liability,0
Aug,5,Monday,Pontiac,Urban,Monday,Aug,5,Female,Single,26,Policy Holder,Sedan - Liability,Sport,14286,5,400,4,No,No,External,Liability,0
Jul,1,Wednesday,Pontiac,Urban,Tuesday,Jul,3,Female,Single,36,Policy Holder,Sedan - Liability,Sport,14287,14,400,3,No,No,External,Liability,0
Jul,1,Tuesday,Toyota,Urban,Thursday,Jul,2,Male,Married,29,Third Party,Sedan - All Perils,Sedan,14288,11,400,1,No,No,External,All Perils,0
Aug,5,Monday,Chevrolet,Urban,Wednesday,Aug,5,Male,Married,59,Policy Holder,Sedan - Collision,Sedan,14289,7,400,4,No,No,External,Collision,1
May,4,Tuesday,Chevrolet,Urban,Wednesday,May,4,Male,Single,58,Third Party,Sedan - All Perils,Sedan,14290,13,400,1,No,No,External,All Perils,0
May,3,Thursday,Toyota,Urban,Thursday,May,3,Male,Single,28,Policy Holder,Sedan - Liability,Sport,14291,13,400,4,No,No,External,Liability,0
May,1,Friday,Toyota,Rural,Monday,May,2,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,14292,7,700,1,No,No,External,Collision,0
May,1,Wednesday,VW,Urban,Wednesday,May,1,Female,Married,48,Policy Holder,Sedan - Liability,Sport,14293,7,400,4,No,No,External,Liability,0
May,1,Wednesday,Mazda,Rural,Thursday,May,2,Male,Married,28,Policy Holder,Utility - All Perils,Utility,14294,12,400,4,No,No,External,All Perils,0
Apr,4,Wednesday,Pontiac,Urban,Friday,Apr,5,Male,Single,38,Third Party,Sedan - Collision,Sedan,14295,7,400,1,No,No,External,Collision,0
Mar,4,Friday,Chevrolet,Urban,Wednesday,Apr,1,Male,Married,44,Third Party,Sedan - All Perils,Sedan,14296,10,400,1,No,No,External,All Perils,0
Mar,2,Friday,Chevrolet,Urban,Friday,Nov,3,Male,Married,56,Policy Holder,Sedan - All Perils,Sedan,14297,6,400,3,No,No,External,All Perils,0
Mar,2,Thursday,Pontiac,Urban,Thursday,Mar,2,Male,Married,30,Policy Holder,Sedan - Liability,Sport,14298,3,400,1,No,No,External,Liability,0
Mar,1,Sunday,Pontiac,Urban,Thursday,Mar,2,Female,Married,38,Policy Holder,Sedan - Liability,Sport,14299,9,400,1,No,No,External,Liability,0
Mar,1,Wednesday,Ford,Rural,Monday,Mar,2,Female,Married,38,Third Party,Sedan - All Perils,Sedan,14300,12,400,1,No,No,External,All Perils,0
Feb,1,Sunday,Chevrolet,Urban,Friday,Feb,2,Male,Married,44,Third Party,Sedan - Collision,Sedan,14301,7,400,4,No,No,External,Collision,0
Jan,3,Monday,Toyota,Urban,Tuesday,Jan,4,Female,Married,46,Policy Holder,Sedan - Collision,Sedan,14302,3,400,3,No,No,External,Collision,0
Aug,1,Tuesday,Mazda,Urban,Wednesday,Aug,1,Female,Married,36,Policy Holder,Sedan - Collision,Sedan,14303,6,400,1,No,No,External,Collision,0
Aug,1,Thursday,Honda,Urban,Monday,Aug,2,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,14304,16,400,2,No,No,External,Collision,0
Dec,3,Saturday,Saab,Urban,Monday,Dec,3,Male,Married,38,Policy Holder,Sedan - Liability,Sport,14305,9,400,2,No,No,External,Liability,0
Nov,3,Tuesday,Honda,Urban,Wednesday,Nov,3,Male,Married,62,Policy Holder,Sedan - Liability,Sport,14306,6,400,1,No,No,Internal,Liability,0
Nov,4,Thursday,Pontiac,Urban,Friday,Dec,1,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,14307,10,400,1,No,No,External,Collision,0
Nov,4,Tuesday,Toyota,Urban,Thursday,Nov,4,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,14308,10,400,2,No,No,External,All Perils,0
Aug,5,Tuesday,Dodge,Urban,Wednesday,Aug,5,Male,Married,47,Third Party,Sedan - Collision,Sedan,14309,7,400,4,No,No,External,Collision,0
Nov,4,Tuesday,Pontiac,Urban,Thursday,Nov,4,Male,Married,62,Policy Holder,Sedan - Collision,Sedan,14310,15,400,1,No,No,External,Collision,0
Oct,3,Sunday,Pontiac,Urban,Monday,Oct,3,Female,Married,27,Third Party,Sedan - Collision,Sedan,14311,14,400,4,No,No,External,Collision,0
Dec,4,Monday,Accura,Urban,Monday,Jan,4,Male,Married,48,Policy Holder,Sedan - All Perils,Sedan,14312,2,400,1,No,No,External,All Perils,0
Jan,3,Thursday,Toyota,Urban,Friday,Mar,4,Female,Married,27,Policy Holder,Sedan - Liability,Sport,14313,5,400,3,No,No,External,Liability,0
Jan,1,Sunday,Toyota,Urban,Wednesday,Mar,2,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,14314,7,400,2,No,No,External,Collision,0
Jul,2,Monday,Honda,Urban,Thursday,Jul,4,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,14315,9,400,1,No,No,External,Collision,0
Jul,2,Monday,Chevrolet,Urban,Tuesday,Jul,2,Male,Married,37,Policy Holder,Sedan - Liability,Sport,14316,9,400,3,No,No,External,Liability,0
Aug,5,Wednesday,Honda,Urban,Thursday,Sep,1,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,14317,8,400,4,No,No,External,Collision,0
Aug,5,Monday,Chevrolet,Rural,Wednesday,Aug,5,Male,Single,48,Policy Holder,Sedan - All Perils,Sedan,14318,5,400,2,No,No,External,All Perils,0
Aug,5,Tuesday,Honda,Urban,Tuesday,Aug,5,Male,Single,19,Third Party,Sedan - All Perils,Sedan,14319,12,400,2,No,No,External,All Perils,0
Sep,3,Sunday,Pontiac,Urban,Tuesday,Sep,4,Male,Married,65,Policy Holder,Sedan - All Perils,Sedan,14320,16,400,1,No,No,External,All Perils,0
Sep,3,Sunday,Pontiac,Urban,Monday,Sep,3,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,14321,7,400,3,No,No,External,Collision,0
Sep,2,Sunday,Toyota,Urban,Thursday,Sep,3,Male,Single,33,Third Party,Sedan - All Perils,Sedan,14322,7,400,2,No,No,External,All Perils,0
Dec,2,Tuesday,Pontiac,Urban,Thursday,Dec,3,Male,Married,50,Third Party,Sedan - All Perils,Sedan,14323,12,700,3,No,No,External,All Perils,0
Nov,4,Saturday,Pontiac,Urban,Monday,Nov,5,Male,Married,30,Third Party,Sedan - All Perils,Sedan,14324,13,400,2,No,No,External,All Perils,0
May,3,Thursday,Pontiac,Urban,Tuesday,Jun,2,Male,Married,32,Policy Holder,Sedan - Liability,Sport,14325,14,400,2,No,No,External,Liability,0
May,2,Tuesday,Honda,Rural,Tuesday,May,2,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,14326,15,400,2,No,No,External,Collision,0
May,2,Wednesday,Chevrolet,Urban,Wednesday,May,3,Female,Married,64,Policy Holder,Sedan - Liability,Sport,14327,15,400,3,No,No,External,Liability,0
Jun,4,Wednesday,Chevrolet,Urban,Thursday,Jun,4,Male,Single,35,Third Party,Sedan - Collision,Sedan,14328,12,400,4,No,No,External,Collision,0
Jun,3,Sunday,Ford,Urban,Monday,Jun,3,Male,Married,30,Third Party,Sedan - Liability,Sport,14329,10,400,3,No,No,Internal,Liability,0
Aug,3,Monday,Mazda,Urban,Tuesday,Sep,1,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,14330,6,400,2,No,No,External,Collision,0
Aug,1,Tuesday,Honda,Urban,Thursday,Aug,1,Male,Single,20,Third Party,Sport - Collision,Sport,14331,14,400,1,No,No,External,Collision,0
Sep,3,Monday,Toyota,Urban,Tuesday,Sep,3,Female,Single,33,Policy Holder,Sedan - Liability,Sport,14332,12,300,3,No,No,External,Liability,0
Aug,4,Sunday,Toyota,Rural,Wednesday,Aug,5,Male,Married,78,Third Party,Sedan - All Perils,Sedan,14333,13,400,3,No,No,External,All Perils,0
Aug,4,Monday,Honda,Rural,Tuesday,Aug,4,Male,Single,32,Third Party,Sedan - All Perils,Sedan,14334,6,400,2,No,No,External,All Perils,0
Nov,3,Thursday,Mazda,Urban,Friday,Nov,3,Male,Married,74,Policy Holder,Sedan - All Perils,Sedan,14335,12,400,2,No,No,External,All Perils,0
Aug,5,Wednesday,Accura,Urban,Friday,Sep,4,Male,Single,41,Policy Holder,Utility - All Perils,Utility,14336,5,400,4,No,No,External,All Perils,1
Nov,3,Friday,Honda,Urban,Tuesday,Nov,4,Male,Married,50,Third Party,Sedan - All Perils,Sedan,14337,6,400,4,No,No,External,All Perils,0
Sep,1,Monday,Mazda,Urban,Monday,Sep,1,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,14338,4,400,4,No,No,External,Collision,0
Aug,5,Thursday,Pontiac,Urban,Friday,Sep,2,Male,Married,49,Third Party,Sedan - All Perils,Sedan,14339,4,400,3,No,No,External,All Perils,0
Nov,5,Tuesday,Mazda,Urban,Monday,Nov,2,Male,Married,48,Policy Holder,Sedan - Liability,Sport,14340,7,400,1,No,No,External,Liability,0
Nov,1,Wednesday,Chevrolet,Rural,Thursday,Dec,3,Female,Married,45,Policy Holder,Sedan - All Perils,Sedan,14341,12,400,2,No,No,External,All Perils,0
Aug,5,Thursday,Toyota,Urban,Tuesday,Sep,1,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,14342,16,400,2,No,No,External,Collision,1
Feb,1,Thursday,Toyota,Urban,Friday,Feb,1,Male,Married,36,Policy Holder,Sedan - Liability,Sport,14343,13,400,1,No,No,External,Liability,0
Feb,2,Wednesday,VW,Urban,Friday,Feb,2,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,14344,3,400,4,No,No,External,Collision,0
Apr,4,Sunday,Toyota,Rural,Monday,Apr,4,Male,Single,19,Policy Holder,Sedan - All Perils,Sedan,14345,4,400,1,No,No,External,All Perils,0
Apr,4,Saturday,Ford,Urban,Thursday,May,1,Male,Single,38,Third Party,Utility - All Perils,Utility,14346,15,400,4,No,No,External,All Perils,0
Apr,4,Thursday,Pontiac,Urban,Thursday,May,1,Male,Single,36,Policy Holder,Sedan - All Perils,Sedan,14347,4,400,1,No,No,External,All Perils,0
Apr,3,Wednesday,Toyota,Urban,Wednesday,Jun,3,Male,Married,50,Policy Holder,Sedan - All Perils,Sedan,14348,16,400,4,No,No,External,All Perils,0
Jun,2,Wednesday,Pontiac,Urban,Thursday,Jun,3,Male,Single,24,Policy Holder,Sedan - Collision,Sedan,14349,13,400,1,No,No,External,Collision,0
Jun,1,Sunday,Mazda,Urban,Monday,Jun,1,Female,Married,79,Policy Holder,Sedan - Liability,Sport,14350,15,400,3,No,No,External,Liability,0
Aug,3,Monday,Pontiac,Urban,Friday,Aug,3,Male,Single,30,Policy Holder,Sedan - All Perils,Sedan,14351,10,400,2,No,No,External,All Perils,0
Jul,5,Saturday,Mazda,Urban,Thursday,Aug,1,Male,Married,47,Third Party,Sedan - All Perils,Sedan,14352,2,400,3,No,No,External,All Perils,0
Jun,4,Monday,Pontiac,Urban,Monday,Jul,3,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,14353,10,400,1,No,No,External,Collision,0
Sep,4,Friday,Honda,Urban,Monday,Sep,4,Male,Married,35,Policy Holder,Sedan - Liability,Sport,14354,8,700,2,No,No,External,Liability,0
Sep,3,Monday,Honda,Urban,Monday,Sep,3,Male,Married,51,Policy Holder,Sedan - Liability,Sport,14355,12,400,3,No,No,External,Liability,0
Oct,1,Thursday,Pontiac,Urban,Friday,Oct,2,Male,Single,27,Policy Holder,Sedan - Liability,Sport,14356,16,400,3,No,No,External,Liability,0
Sep,1,Friday,Nisson,Rural,Monday,Sep,1,Male,Married,28,Policy Holder,Sedan - Liability,Sport,14357,2,400,3,No,No,External,Liability,0
Oct,4,Wednesday,Mazda,Urban,Thursday,Oct,4,Male,Single,34,Third Party,Sedan - Collision,Sedan,14358,6,400,2,No,No,External,Collision,0
Dec,4,Wednesday,Toyota,Urban,Friday,Dec,4,Female,Married,28,Policy Holder,Sedan - All Perils,Sedan,14359,15,400,4,No,No,External,All Perils,0
Dec,2,Wednesday,Toyota,Urban,Friday,Dec,2,Male,Single,34,Third Party,Sedan - Collision,Sedan,14360,5,400,4,No,No,External,Collision,0
Feb,3,Monday,Honda,Urban,Monday,Feb,3,Male,Married,37,Policy Holder,Sedan - Liability,Sport,14361,1,400,4,No,No,External,Liability,0
Sep,1,Friday,Pontiac,Rural,Friday,Sep,1,Male,Married,33,Policy Holder,Sedan - Liability,Sport,14362,10,400,1,No,No,External,Liability,0
Apr,1,Monday,Pontiac,Urban,Tuesday,Apr,1,Male,Married,43,Policy Holder,Sedan - Liability,Sport,14363,12,400,3,No,No,External,Liability,0
Jun,1,Monday,Toyota,Urban,Tuesday,Jun,1,Male,Single,49,Policy Holder,Sedan - Liability,Sport,14364,15,400,1,No,No,External,Liability,0
Aug,2,Friday,Ford,Urban,Thursday,Aug,3,Male,Married,49,Policy Holder,Utility - All Perils,Utility,14365,6,400,1,No,No,External,All Perils,0
Aug,2,Saturday,Toyota,Urban,Friday,Sep,2,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,14366,11,400,2,No,No,External,All Perils,0
Sep,1,Saturday,Toyota,Urban,Tuesday,Sep,1,Female,Married,28,Policy Holder,Sedan - Collision,Sedan,14367,3,400,2,No,No,External,Collision,1
Sep,2,Friday,Nisson,Urban,Monday,Sep,2,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,14368,14,400,2,No,No,External,Collision,0
Oct,2,Tuesday,Pontiac,Urban,Monday,Oct,5,Male,Single,34,Third Party,Sedan - Collision,Sedan,14369,7,400,4,No,No,External,Collision,0
Oct,1,Wednesday,Toyota,Urban,Tuesday,Oct,3,Male,Married,37,Third Party,Sedan - All Perils,Sedan,14370,7,400,2,No,No,External,All Perils,0
Dec,2,Monday,Toyota,Rural,Monday,Dec,2,Male,Single,28,Policy Holder,Sedan - Collision,Sedan,14371,16,400,1,No,No,External,Collision,0
Nov,1,Monday,Toyota,Urban,Monday,Nov,1,Male,Single,69,Policy Holder,Sedan - Liability,Sport,14372,16,400,1,No,No,External,Liability,0
Oct,2,Wednesday,Toyota,Urban,Thursday,Oct,4,Male,Married,34,Policy Holder,Sedan - All Perils,Sedan,14373,13,400,2,No,No,External,All Perils,0
Aug,3,Thursday,Toyota,Urban,Tuesday,Sep,3,Female,Married,27,Policy Holder,Sedan - Liability,Sport,14374,9,400,2,No,No,External,Liability,0
Jul,2,Saturday,Toyota,Urban,Tuesday,Aug,1,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,14375,9,400,3,No,No,External,All Perils,0
Jul,1,Monday,Honda,Urban,Tuesday,Jul,1,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,14376,6,400,4,Yes,No,External,Collision,0
Jul,1,Saturday,Chevrolet,Urban,Thursday,Jul,4,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,14377,1,400,1,No,No,External,Collision,0
May,3,Tuesday,Pontiac,Urban,Wednesday,May,3,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,14378,10,400,3,No,No,External,Collision,0
May,2,Friday,Pontiac,Urban,Friday,Jun,1,Male,Married,41,Policy Holder,Sedan - Liability,Sport,14379,7,400,1,No,No,External,Liability,0
May,1,Saturday,Pontiac,Urban,Thursday,May,3,Male,Married,63,Third Party,Sedan - All Perils,Sedan,14380,12,400,3,No,No,External,All Perils,0
Apr,1,Tuesday,Mercury,Urban,Wednesday,Apr,2,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,14381,12,400,2,No,No,External,All Perils,0
Sep,1,Saturday,Mazda,Urban,Thursday,Sep,2,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,14382,14,400,2,No,No,External,Collision,1
Mar,3,Sunday,Honda,Urban,Tuesday,Mar,4,Female,Single,34,Policy Holder,Sedan - Collision,Sedan,14383,12,500,2,No,No,External,Collision,0
Feb,1,Wednesday,Toyota,Urban,Wednesday,Feb,2,Male,Married,32,Policy Holder,Sedan - Liability,Sport,14384,12,400,1,No,No,External,Liability,0
Oct,4,Tuesday,Pontiac,Urban,Wednesday,Nov,1,Female,Married,31,Policy Holder,Sedan - Collision,Sedan,14385,14,400,4,No,No,External,Collision,0
Sep,4,Tuesday,Accura,Urban,Tuesday,May,4,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,14386,14,400,2,No,No,External,Collision,0
Aug,3,Saturday,Pontiac,Urban,Tuesday,Aug,4,Female,Married,40,Third Party,Sedan - Liability,Sport,14387,14,400,1,No,No,External,Liability,0
Sep,1,Saturday,Toyota,Urban,Friday,Sep,3,Female,Married,48,Policy Holder,Sedan - All Perils,Sedan,14388,14,400,4,No,No,External,All Perils,1
May,5,Sunday,Pontiac,Urban,Wednesday,Jun,4,Female,Married,28,Policy Holder,Sedan - Liability,Sport,14389,8,400,1,No,No,External,Liability,0
May,5,Sunday,Honda,Urban,Wednesday,Jul,4,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,14390,3,400,3,No,No,External,Collision,0
Sep,1,Sunday,Mazda,Urban,Monday,Sep,1,Male,Single,23,Policy Holder,Sedan - All Perils,Sedan,14391,3,400,3,No,No,External,All Perils,1
May,1,Sunday,Pontiac,Urban,Wednesday,May,1,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,14392,5,400,4,No,No,External,Collision,0
Sep,1,Sunday,Pontiac,Urban,Thursday,Sep,2,Male,Single,28,Policy Holder,Sedan - Collision,Sedan,14393,7,400,3,No,No,External,Collision,1
Apr,3,Wednesday,Toyota,Urban,Thursday,Apr,5,Male,Married,50,Policy Holder,Sedan - Liability,Sport,14394,16,400,4,No,No,External,Liability,0
Apr,3,Friday,Honda,Urban,Monday,Apr,3,Male,Single,45,Third Party,Sedan - All Perils,Sedan,14395,9,400,3,No,No,External,All Perils,0
Apr,2,Wednesday,Mazda,Urban,Thursday,Apr,3,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,14396,13,400,4,No,No,External,Collision,0
Apr,1,Tuesday,Honda,Urban,Wednesday,May,1,Female,Married,54,Policy Holder,Sedan - Liability,Sport,14397,9,400,2,No,No,External,Liability,0
Apr,1,Sunday,Mazda,Urban,Tuesday,Apr,1,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,14398,4,400,3,No,No,External,Collision,0
Apr,1,Sunday,Chevrolet,Urban,Tuesday,Jun,2,Male,Married,56,Policy Holder,Utility - Collision,Utility,14399,4,400,4,No,No,External,Collision,0
Mar,3,Friday,Honda,Urban,Friday,Apr,4,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,14400,16,400,2,No,No,External,All Perils,0
Mar,3,Friday,Honda,Urban,Friday,Apr,1,Female,Single,32,Third Party,Sedan - All Perils,Sedan,14401,7,400,4,No,No,External,All Perils,0
Sep,1,Monday,Chevrolet,Urban,Thursday,Sep,2,Female,Married,31,Third Party,Sedan - Collision,Sedan,14402,16,400,4,No,No,External,Collision,0
